REL,,CLASS,dataset_id,ontology_id,data,DATASET,,CLASS,dataset_id,ontology_id,datb,DATASET
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q41176,2417,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q41176,2417,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,2473,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Church,2420,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,2416,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,2416,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Building,2419,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,2474,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,2474,1,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,2473,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q44613,2472,10,175,DBpedia in Dutch
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q44613,2202,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q44613,2202,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Building,2196,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q160742,2200,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ArchitecturalStructure,2195,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,2199,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ArchitecturalStructure,2195,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q160742,2200,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Building,2196,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,2197,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,2197,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,2198,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,2198,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,2199,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q41176,2201,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,2193,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Abbey,2194,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Abbey,2194,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q41176,2201,10,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,2193,1,134,DBpedia in French
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q160742,4480,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Abbey,4479,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,4393,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q44613,4397,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,4396,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q44613,4397,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,4396,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,4395,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Abbey,4479,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q160742,4480,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,4395,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,4394,10,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/Monastery,4394,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.ontologydesignpatterns.org/ont/d0.owl#Location,4393,1,442,DBpedia Wikidata
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Monastery103781244,13894,10,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Monastery103781244,13894,1,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.wikidata.org/entity/Q1370598,13746,10,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Residence104079244,13892,1,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/Residence104079244,13892,10,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/ReligiousResidence104073948,13891,1,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/ontology/ReligiousBuilding,13745,10,393,DBpedia-Live
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://dbpedia.org/class/yago/ReligiousResidence104073948,13891,10,393,DBpedia-Live
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#Feature,1457,1,59,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2004/02/skos/core#Concept,1456,1,59,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2004/02/skos/core#Concept,1461,1,60,Dutch Ships and Sailors
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#P,5063,7,60,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2000/01/rdf-schema#Resource,1460,1,60,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#S,5058,7,59,Dutch Ships and Sailors
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#L,5056,7,59,Dutch Ships and Sailors
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#P,5055,7,59,Dutch Ships and Sailors
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#L,5064,7,60,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2000/01/rdf-schema#Resource,1458,1,59,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#Feature,1459,1,60,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#S,5066,7,60,Dutch Ships and Sailors
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Museum,2570,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/HistoricPointOfInterest,2611,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BicycleShop,2691,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#V,5187,7,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/EmergencyPhone,2623,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BooksShop,2698,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/FireStation,2532,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BookShop,2697,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Entrance,2817,1,196,LinkedGeoData
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Pub,451,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Toilets,429,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Telephone,444,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Town,464,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Viewpoint,459,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Shelter,461,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Memorial,593,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/WasteBasket,481,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/Playground,581,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/DrinkingWater,428,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BookShop,497,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BooksShop,498,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/HuntingStand,524,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/BicycleParking,523,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/FireStation,446,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://linkedgeodata.org/ontology/PicnicSite,601,1,28,LinkLion - A Link Repository for the Web of Data
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#S,5050,7,45,Verrijkt Koninkrijk
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#L,5048,7,45,Verrijkt Koninkrijk
0,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#P,5047,7,45,Verrijkt Koninkrijk
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2004/02/skos/core#Concept,1453,1,45,Verrijkt Koninkrijk
2,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.geonames.org/ontology#Feature,1451,1,45,Verrijkt Koninkrijk
1,,http://www.wikidata.org/entity/Q44613,2472,1,175,DBpedia in Dutch,,http://www.w3.org/2000/01/rdf-schema#Resource,1452,1,45,Verrijkt Koninkrijk
0,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://adl-gazetteer.geog.ucsb.edu/ontology/cape,4172,1,428,Alexandria Digital Library (ADL) Gazetteer
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/City,2186,1,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/City,2186,10,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://www.wikidata.org/entity/Q515,2190,1,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://www.wikidata.org/entity/Q515,2190,10,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/City,2185,1,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/City,2185,10,134,DBpedia in French
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/City,2908,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/PopulatedPlace,2894,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://umbel.org/umbel/rc/PopulatedPlace,2889,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/Place,2896,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/City,2906,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://www.w3.org/2002/07/owl#Thing,2893,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/City,2908,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/PopulatedPlace,2894,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://schema.org/Place,2896,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/Settlement,2907,10,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/City,2906,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://dbpedia.org/ontology/Settlement,2907,1,200,DBpedia in Greek
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://umbel.org/umbel/rc/PopulatedPlace,2889,10,200,DBpedia in Greek
0,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://rdfdata.eionet.europa.eu/wise/ontology/SurfaceWaterBodyDeclaration,2180,1,120,EEA Vocabularies
0,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://linkedgeodata.org/ontology/Marina,574,1,28,LinkLion - A Link Repository for the Web of Data
1,,http://dbpedia.org/class/yago/PopulatedPlacesInTheLesbosPrefecture,3077,1,200,DBpedia in Greek,,http://linkedgeodata.org/ontology/Town,464,1,28,LinkLion - A Link Repository for the Web of Data
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://adl-gazetteer.geog.ucsb.edu/ontology/country_2nd_order_division,4307,1,428,Alexandria Digital Library (ADL) Gazetteer
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://adl-gazetteer.geog.ucsb.edu/ontology/country_4th_order_division,4165,1,428,Alexandria Digital Library (ADL) Gazetteer
2,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/ontology/Museum,3715,10,351,DBpedia
2,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/ontology/Museum,3715,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/CausalAgent100007347,3882,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/LivingThing100004258,3884,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/LivingThing100004258,3884,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Organism100004475,3886,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Person100007846,3887,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Person100007846,3887,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Stadium104295881,3899,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Stadium104295881,3899,1,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Room104105893,5468,1,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Room104105893,5468,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Library103660909,5856,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://umbel.org/umbel/rc/Stadium,6011,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/ontology/Stadium,6018,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://schema.org/StadiumOrArena,6019,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/WikicatRailwayStationsInHyōgoPrefecture,6484,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://www.wikidata.org/entity/Q7075,7109,1,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://www.wikidata.org/entity/Q7075,7109,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/ontology/Library,7110,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/ontology/Library,7110,1,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://schema.org/Library,7111,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://schema.org/Library,7111,1,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/WikicatNationalLibraries,7112,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/WikicatNationalLibraries,7112,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Ward110767020,7530,10,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Ward110767020,7530,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/CausalAgent100007347,3882,10,351,DBpedia
1,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Area102735688,5465,1,351,DBpedia
0,,http://schema.org/Library,3236,1,257,DBpedia in Japanese,,http://dbpedia.org/class/yago/Organism100004475,3886,10,351,DBpedia
