Source Class,Source Dataset,Target Class,Target Dataset
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/class/yago/Vehicle104524313,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://schema.org/Product,DBpedia
http://dbpedia.org/ontology/Locomotive,DBpedia Wikidata,http://dbpedia.org/ontology/MeanOfTransportation,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Building,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2004/02/skos/core#Concept,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Building,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Church,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2004/02/skos/core#Concept,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q1370598,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#Feature,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2004/02/skos/core#Concept,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2004/02/skos/core#Concept,Verrijkt Koninkrijk
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2000/01/rdf-schema#Resource,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q1370598,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Cathedral102984061,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Diocese108550966,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Diocese,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#S,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Cathedral102984061,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Church,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#S,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/WikicatHallChurches,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ClericalAdministrativeRegion,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q1370598,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2004/02/skos/core#Concept,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ClericalAdministrativeRegion,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/WikicatHallChurches,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/WikicatLutheranChurchBuildingsConvertedFromRomanCatholicism,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/WikicatLutheranChurchBuildingsConvertedFromRomanCatholicism,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Jurisdiction108590369,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/Diocese,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2000/01/rdf-schema#Resource,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q1370598,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#Feature,Verrijkt Koninkrijk
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Jurisdiction108590369,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/class/yago/Diocese108550966,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#S,Verrijkt Koninkrijk
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.geonames.org/ontology#Feature,Dutch Ships and Sailors
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ArchitecturalStructure,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ArchitecturalStructure,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.w3.org/2000/01/rdf-schema#Resource,Verrijkt Koninkrijk
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q41176,DBpedia in French
http://dbpedia.org/ontology/Organ,DBpedia Wikidata,http://www.wikidata.org/entity/Q41176,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/MusicSchool108283649,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://www.wikidata.org/entity/Q1370598,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatSchoolsWithCombinedCadetForces,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatEducationalInstitutionsEstablishedInThe15thCentury,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://umbel.org/umbel/rc/EducationalOrganization,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Palace103878066,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/MusicSchool108283649,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatPreparatorySchoolsInLondon,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/PreparatorySchool108409969,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatFormerBuildingsAndStructuresInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatFormerBuildingsAndStructuresInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatIndependentSchoolsInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Conservatory108287436,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatEducationalInstitutionsEstablishedInThe15thCentury,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatChurchesInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInLondon,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatPreparatorySchoolsInLondon,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatIndependentSchoolsInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://umbel.org/umbel/rc/EducationalOrganization,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/PreparatorySchool108409969,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Palace103878066,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInLondon,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatChurchesInTheCityOfWestminster,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatMemberSchoolsOfTheIndependentAssociationOfPreparatorySchools,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatSchoolsWithCombinedCadetForces,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Conservatory108287436,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Jurisdiction108590369,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Diocese108550966,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/Diocese,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Cathedral102984061,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/Building,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/Building,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://www.wikidata.org/entity/Q41176,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://www.wikidata.org/entity/Q41176,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatAnglicanCathedrals,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatMemberSchoolsOfTheIndependentAssociationOfPreparatorySchools,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ClericalAdministrativeRegion,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ArchitecturalStructure,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ArchitecturalStructure,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/BoardingSchool108411701,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/WikicatAnglicanCathedrals,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/Diocese,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Jurisdiction108590369,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/PrivateSchool108411170,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Diocese108550966,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/PrivateSchool108411170,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/Cathedral102984061,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ClericalAdministrativeRegion,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://www.wikidata.org/entity/Q1370598,DBpedia in French
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/class/yago/BoardingSchool108411701,DBpedia
http://education.data.gov.uk/def/school/IndependentSchoolType_Music,education.data.gov.uk,http://dbpedia.org/ontology/ReligiousBuilding,DBpedia in French
http://greek-lod.math.auth.gr/fire-brigade/resource/subdivisions,Hellenic Fire Brigade,http://linkedgeodata.org/ontology/FireStation,LinkLion - A Link Repository for the Web of Data
http://greek-lod.math.auth.gr/fire-brigade/resource/subdivisions,Hellenic Fire Brigade,http://linkedgeodata.org/ontology/FireStation,LinkedGeoData
http://linkedgeodata.org/ontology/ChurchHall,LinkedGeoData,http://linkedgeodata.org/ontology/ChurchHall,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://www.w3.org/2004/02/skos/core#Concept,Isidore
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatWorldHeritageSitesInItaly,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatRomanTownsAndCities,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://schema.org/AdministrativeArea,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Serendipity
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,DBpedia in Spanish
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatPortCities,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/State108654360,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/PopulatedPlace,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/PopulatedPlace,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Serendipity
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/AdministrativeRegion,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Universidad Técnica Particular de Loja - Linked Open Data
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatCitiesAndTownsInItaly,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheAdriaticSea,DBpedia in Greek
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatPortCities,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://umbel.org/umbel/rc/Village,DBpedia in Greek
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatCitiesAndTownsInItaly,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://linkedgeodata.org/ontology/City,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/City,DBpedia in Greek
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://linkedgeodata.org/ontology/Town,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/State108654360,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/Region,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/City,DBpedia in Greek
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://linkedgeodata.org/ontology/Suburb,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Open Data of Ecuador
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Open Data of Ecuador
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatRomanTownsAndCities,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/AdministrativeRegion,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/class/yago/WikicatWorldHeritageSitesInItaly,DBpedia
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/Region,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://schema.org/AdministrativeArea,DBpedia in Basque
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,DBpedia in Spanish
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://umbel.org/umbel/rc/Village,DBpedia in Greek
http://linkedgeodata.org/ontology/City,Shoah victims’ names,http://dbpedia.org/ontology/WorldHeritageSite,Universidad Técnica Particular de Loja - Linked Open Data
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://dbpedia.org/class/yago/Fjord109281104,DBpedia
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://linkedgeodata.org/ontology/NaturalThing,LinkedGeoData
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://dbpedia.org/class/yago/Inlet109313716,DBpedia
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://adl-gazetteer.geog.ucsb.edu/ontology/bar_physiographic_,Alexandria Digital Library (ADL) Gazetteer
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://adl-gazetteer.geog.ucsb.edu/ontology/fjord,Alexandria Digital Library (ADL) Gazetteer
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://adl-gazetteer.geog.ucsb.edu/ontology/physiographic_feature,Alexandria Digital Library (ADL) Gazetteer
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://dbpedia.org/class/yago/Inlet109313716,DBpedia
http://linkedgeodata.org/ontology/Fjord,LinkLion - A Link Repository for the Web of Data,http://dbpedia.org/class/yago/Fjord109281104,DBpedia
http://linkedgeodata.org/ontology/MineralSpring,LinkLion - A Link Repository for the Web of Data,http://linkedgeodata.org/ontology/WaterwayThing,LinkedGeoData
http://linkedgeodata.org/ontology/MineralSpring,LinkLion - A Link Repository for the Web of Data,http://linkedgeodata.org/ontology/Spring,LinkedGeoData
http://linkedgeodata.org/ontology/Newsstand,LinkLion - A Link Repository for the Web of Data,http://linkedgeodata.org/ontology/Newsagent,LinkedGeoData
http://linkedgeodata.org/ontology/TricycleStation,LinkedGeoData,http://linkedgeodata.org/ontology/BicycleParking,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/TricycleStation,LinkedGeoData,http://linkedgeodata.org/ontology/BusStation,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/TricycleStation,LinkedGeoData,http://linkedgeodata.org/ontology/TricycleStation,LinkLion - A Link Repository for the Web of Data
http://linkedgeodata.org/ontology/TricycleStation,LinkedGeoData,http://linkedgeodata.org/ontology/MotorcycleParking,LinkLion - A Link Repository for the Web of Data
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/Library103660909,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://www.wikidata.org/entity/Q7075,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/Room104105893,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/WikicatDepositLibraries,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://linkedgeodata.org/ontology/PublicBuilding,LinkedGeoData
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://schema.org/Library,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/Area102735688,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Site,Events calendar for the University (University of Oxford)
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,Events calendar for the University (University of Oxford)
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://linkedgeodata.org/ontology/College,LinkedGeoData
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Building,Events calendar for the University (University of Oxford)
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://schema.org/Library,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://schema.org/Library,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/Area102735688,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://www.wikidata.org/entity/Q7075,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/ontology/Library,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/Room104105893,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/class/yago/WikicatDepositLibraries,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/ontology/Library,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/ontology/Library,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://www.wikidata.org/entity/Q7075,DBpedia Wikidata
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://schema.org/Library,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://www.wikidata.org/entity/Q7075,DBpedia
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,Events calendar for the University (University of Oxford)
http://ns.ox.ac.uk/namespace/oxpoints/2009/02/owl#Room,OxPoints (University of Oxford),http://dbpedia.org/ontology/Library,DBpedia
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://schema.org/EducationalOrganization,houses of culture Caceres
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://opendata.caceres.es/def/ontomunicipio#Colegio,houses of culture Caceres
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://opendata.caceres.es/def/ontomunicipio#AsociacionVecinos,houses of culture Caceres
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://opendata.caceres.es/def/ontomunicipio#EspacioDeportivo,houses of culture Caceres
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://www.w3.org/ns/prov#Activity,houses of culture Caceres
http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,Perfil del Contratante Cáceres,http://opendata.caceres.es/def/ontomunicipio#ActividadDeportiva,houses of culture Caceres
http://schema.org/Festival,Serendipity,http://dbpedia.org/class/yago/SocialEvent107288639,DBpedia
